x,A(x),B(x),alpa(x),beta(x),A(x),B(x),alpa(x),beta(x)
27,-6.898779009,0.007719334,-0.438252719,0.001811097,-7.806792926,0.010016257,-0.161360308,0.011059262
28,-6.878653574,0.007496332,-0.400364910,0.010397992,-7.758365688,0.009879465,-0.134326625,0.007381332
29,-6.846342313,0.007566716,-0.385143398,0.013692716,-7.697515905,0.009849061,-0.108504625,0.010708816
30,-6.813216022,0.007562762,-0.410780686,0.015924313,-7.627869649,0.010201344,-0.126621210,0.009626818
31,-6.775299393,0.007422444,-0.387486462,0.020672874,-7.568237488,0.009894126,-0.097171942,0.005783553
32,-6.732390111,0.007380525,-0.385315197,0.018086688,-7.486114099,0.010065277,-0.126489997,0.003452868
33,-6.683312956,0.007742036,-0.382327053,0.016398758,-7.400325066,0.009718252,-0.087422909,0.007094661
34,-6.624405892,0.007602859,-0.399808835,0.030445839,-7.319080863,0.009597070,-0.094913496,0.010916067
35,-6.558555862,0.007787552,-0.372858737,0.014069428,-7.228610179,0.009575769,-0.116068444,0.009822022
36,-6.488025462,0.007911510,-0.384571183,0.005387800,-7.144077912,0.009704955,-0.109692865,0.012873773
37,-6.414576626,0.008300872,-0.381653476,0.021977299,-7.058578373,0.009462939,-0.129721822,0.014847551
38,-6.332101636,0.008223934,-0.381389846,0.012536015,-6.964793775,0.009258721,-0.115826733,0.012168124
39,-6.244340692,0.008347056,-0.371534166,0.017705389,-6.866833036,0.009060294,-0.111367689,0.009908408
40,-6.151810920,0.008518005,-0.376937074,0.013250056,-6.773832588,0.009337907,-0.087396269,0.013301519
41,-6.063845100,0.008633836,-0.366999929,0.010601832,-6.677008218,0.008847546,-0.097559369,0.015633934
42,-5.968181657,0.008842277,-0.353027230,0.014370293,-6.578886323,0.008898515,-0.079743921,0.012788904
43,-5.872452541,0.008842899,-0.339435729,0.008272978,-6.475333321,0.008892379,-0.075099997,0.010153089
44,-5.778900356,0.008898818,-0.323841389,0.002089459,-6.383468988,0.008784903,-0.077798960,0.015859547
45,-5.677991454,0.008876768,-0.324761955,-0.007932574,-6.286848824,0.008608726,-0.069874127,0.013266432
46,-5.583849949,0.008893809,-0.318092114,-0.006715723,-6.190290589,0.008434501,-0.041343880,0.015769880
47,-5.487341306,0.008834624,-0.293792454,0.001631614,-6.094596407,0.008473118,-0.041019270,0.016897247
48,-5.393056274,0.008801683,-0.282091967,-0.004629473,-6.001390172,0.008577869,-0.038994811,0.015267984
49,-5.294013205,0.008852300,-0.278722732,-0.003498166,-5.911042706,0.008505658,-0.044420060,0.014822150
50,-5.192509898,0.009001964,-0.268480237,-0.003228961,-5.816421990,0.008368994,-0.075808662,0.016672847
51,-5.101931538,0.008783723,-0.252454096,-0.007451941,-5.738341239,0.008098696,-0.038532121,0.015366815
52,-5.006969777,0.008831277,-0.238992271,-0.008604773,-5.648628351,0.008215330,-0.032123484,0.015607984
53,-4.915375763,0.008821474,-0.221803405,-0.013093265,-5.573343415,0.008076842,-0.052422564,0.016131715
54,-4.819312633,0.008878192,-0.216446734,-0.016335138,-5.491617718,0.008056338,-0.042264229,0.015812323
55,-4.728089026,0.008997868,-0.191650668,-0.011561798,-5.409037752,0.007992167,-0.052661117,0.016352832
56,-4.638657441,0.009096313,-0.185472340,-0.012067663,-5.329676503,0.008101385,-0.036752823,0.015269113
57,-4.544998823,0.009244968,-0.159655683,-0.010906614,-5.243731387,0.008150139,-0.041085085,0.014896857
58,-4.454957717,0.009361990,-0.149372726,-0.006356157,-5.160208977,0.008379966,-0.041478817,0.017948571
59,-4.364852276,0.009443194,-0.150173379,-0.007689456,-5.075804747,0.008375143,-0.043457152,0.015993241
60,-4.267977956,0.009661508,-0.126712564,-0.005761876,-4.980491670,0.008476488,-0.041702946,0.017479674
61,-4.179116672,0.009806304,-0.119789481,-0.004172586,-4.897242105,0.008484888,-0.031270260,0.017057398
62,-4.087089169,0.010049817,-0.104150613,-0.000701633,-4.807816430,0.008801129,-0.053494837,0.017069676
63,-3.996428302,0.010274799,-0.085593769,0.004812334,-4.719273027,0.009033647,-0.040958528,0.015682525
64,-3.904959146,0.010431997,-0.078062944,0.008863924,-4.624279566,0.009323589,-0.047323488,0.016515395
65,-3.810573585,0.010614956,-0.064983724,0.012157689,-4.529001443,0.009566116,-0.047272300,0.016293134
66,-3.723210800,0.010647710,-0.051098838,0.014678558,-4.435094272,0.009698433,-0.047707077,0.016065086
67,-3.630290456,0.010859800,-0.042280229,0.016431377,-4.337182116,0.010013999,-0.042922240,0.014631356
68,-3.536810714,0.010905880,-0.033754351,0.019831472,-4.236327406,0.010148170,-0.034136935,0.015365680
69,-3.444840094,0.010901526,-0.028092489,0.025165352,-4.130284493,0.010402772,-0.048577090,0.016942745
70,-3.349446772,0.010977585,-0.027688993,0.029170506,-4.023015240,0.010636719,-0.049477580,0.015875737
71,-3.256671862,0.010858791,-0.018732439,0.031785628,-3.918368544,0.010821323,-0.039351658,0.016361468
72,-3.159435741,0.010808519,-0.011708037,0.034136874,-3.802016944,0.010939462,-0.053641169,0.014952812
73,-3.065295908,0.010744038,-0.007254631,0.038640832,-3.689682756,0.011101495,-0.047908964,0.015025653
74,-2.968813574,0.010571509,-0.004734373,0.040157958,-3.574239088,0.011166550,-0.048363096,0.014463660
75,-2.873522735,0.010376052,-0.000364556,0.042048691,-3.456508675,0.011170084,-0.048862779,0.014417757
76,-2.777931708,0.010106486,0.005837844,0.043370005,-3.336478088,0.011066147,-0.050146669,0.013738859
77,-2.681737498,0.009748809,0.005467183,0.045667756,-3.219607643,0.011002468,-0.039807354,0.013787499
78,-2.584954932,0.009408364,0.008381185,0.049502276,-3.098838801,0.010805309,-0.041899618,0.013620429
79,-2.488296112,0.009139180,0.006902039,0.050496524,-2.976015250,0.010571294,-0.043753282,0.012894943
80,-2.384594638,0.008821070,0.001767118,0.052506203,-2.847865152,0.010254395,-0.039159534,0.012982729
81,-2.287413831,0.008296140,0.003163767,0.053315092,-2.726635706,0.009869394,-0.032898670,0.012569863
82,-2.188367659,0.007904089,-0.008748114,0.053332783,-2.602036803,0.009566034,-0.033107058,0.012515722
83,-2.091079252,0.007509785,-0.006904480,0.053733361,-2.479352964,0.009167886,-0.032165824,0.012482557
84,-1.994139395,0.007157523,-0.006604568,0.053398665,-2.358714190,0.008812349,-0.030013712,0.011773850
85,-1.898597137,0.006692533,-0.008214906,0.047733342,-2.240634205,0.008220942,-0.029553196,0.011327402
86,-1.800474177,0.006273968,-0.008208623,0.047460977,-2.122396598,0.007805958,-0.022219611,0.011806520
87,-1.708079548,0.005840919,-0.011380393,0.047076694,-2.008942576,0.007196230,-0.016864770,0.011459865
88,-1.616272645,0.005429071,-0.006724054,0.047374397,-1.897345347,0.006721897,-0.016466267,0.010561700
89,-1.526227492,0.004912227,-0.014801732,0.045692744,-1.786285655,0.006170576,-0.009334652,0.009754873
90,-1.430378098,0.004620422,-0.018823417,0.048322904,-1.679261406,0.005725936,-0.011361765,0.011572909
